english,amazigh,tifinagh,script
Men know why,Irgazen ẓran acimi,,Latin
Milk the cow,Ẓẓegd tafunast,,Latin
Milk the cow,Ẓẓgetd tafunast,,Latin
Move quietly,Ḥerrek s leεqel,,Latin
Mull it over,Xemmem fellas,,Latin
Mull it over,Swingem fellas,,Latin
Mull it over,Xemmemet fellas,,Latin
Mull it over,Xemmemem fellas,,Latin
Mull it over,Xemmememt fellas,,Latin
Mull it over,Swinegmem fellas,,Latin
Mull it over,Swinegmet fellas,,Latin
Mull it over,Swinegmemt fellas,,Latin
My arm hurts,Qerḥeniyi yiɣalleniw,,Latin
My boat sank,Yezder uɣerrabuinu,,Latin
My ears hurt,Qerḥeniyi yimeẓẓuɣeniw,,Latin
My leg hurts,Yeqreḥiyi uqejjiriw,,Latin
My legs hurt,Qerḥeniyi yiqejjireniw,,Latin
No one cared,Ḥedd ur yelli tewqeɛas,,Latin
No one cares,Ḥedd ur asdtewqiɛ,,Latin
No one cares,Ḥedd ur asiṛuḥ,,Latin
No one knows,Ula d yiwen ur yeẓri,,Latin
No one moved,Ḥedd ur iḥerrek,,Latin
No one spoke,Ḥedd ur dyehdiṛ,,Latin
Nobody asked,Ula d yiwen ur dyettir,,Latin
Nobody asked,Ula d yiwen ur dyessuter,,Latin
Nobody knows,Ula d yiwen ur yeẓri,,Latin
Nobody knows,Yiwen ur yeẓri,,Latin
Now Im sure,Tura tḥeqqeɣ,,Latin
Now come out,Ffeɣd tura,,Latin
Now drink up,Sew tura,,Latin
Now fix that,Ṣeggemit tura,,Latin
Now get lost,Afeg tura,,Latin
Now have fun,Zhu tura,,Latin
Now leave me,Anefiyi tura,,Latin
Now leave us,Eǧǧaneɣ tura,,Latin
Now lie down,Ẓẓel tura,,Latin
Now stay put,Tura qqim kan ur ttḥerrik ara,,Latin
Now try this,Ɛreḍ wa imira,,Latin
Now try this,Arem wa imira,,Latin
Now try this,Ɛerḍet wa imira,,Latin
Now try this,Ɛerḍem wa imira,,Latin
Now try this,Ɛerḍemt wa imira,,Latin
Now try this,Armet wa imira,,Latin
Now try this,Armem wa imira,,Latin
Now try this,Armemt wa imira,,Latin
Now be nice,Beṛka ur smussus ara imira,,Latin
Now be nice,Beṛkat ur smussuset ara imira,,Latin
Now be nice,Beṛkamt ur smussusemt ara imira,,Latin
Obey the law,Ḍfer asaḍuf,,Latin
Obey the law,Ḍefret asaḍuf,,Latin
Obey the law,Ḍefrem asaḍuf,,Latin
Obey the law,Ḍefremt asaḍuf,,Latin
Oh be quiet,Uh susem,,Latin
Oh be quiet,Uh susmet,,Latin
Oh be quiet,Uh susmem,,Latin
Oh be quiet,Uh susmemt,,Latin
Open the box,Rẓem tankultnni,,Latin
Play with me,Urar yidi,,Latin
Play with me,Uraret yidi,,Latin
Play with me,Uraremt yidi,,Latin
Please hurry,Ttxilk ɣiwel,,Latin
Please hurry,Ɣiwel ma ulac aɣilif,,Latin
Please leave,Ffeɣ ma ulac aɣilif,,Latin
Please leave,Ffɣet ma ulac aɣilif,,Latin
Please leave,Ffɣemt ma ulac aɣilif,,Latin
Please relax,Snefsusi imannnek ma ulac aɣilif,,Latin
Please relax,Serreḥ i yimannnek ma ulac aɣilif,,Latin
Please smile,Zmumeg ma ulac aɣilif,,Latin
Please smile,Zmumget ma ulac aɣilif,,Latin
Please smile,Zmumgemt ma ulac aɣilif,,Latin
Read me more,Rnu ɣeriyid,,Latin
Run and hide,Rwel teffreḍ,,Latin
Schools out,Ifuk uɣerbaz,,Latin
See you soon,Ar tufat,,Latin
See you then,Ar ticki,,Latin
Set Tom free,Serreḥas i Tom,,Latin
Set Tom free,Bruasd i Tom,,Latin
Shame on you,D lɛaṛ fellak,,Latin
Shame on you,D lɛaṛ fellam,,Latin
Shame on you,D lɛaṛ fellawen,,Latin
Shame on you,D lɛaṛ fellawent,,Latin
Shame on you,D actaf fellak,,Latin
Shame on you,D actaf fellam,,Latin
Shame on you,D actaf fellawen,,Latin
Shame on you,D actaf fellawent,,Latin
She has wine,Tesεa ismed,,Latin
She helps us,Tettɛawanaɣ,,Latin
She is happy,Tefṛeḥ,,Latin
She is happy,Nettat tefṛeḥ,,Latin
She is lucky,Tesɛa zzheṛ,,Latin
She liked it,Yeɛjebas,,Latin
She liked it,Yeεǧebas,,Latin
She loves us,Tḥemmelaɣ,,Latin
She shot him,Teqres fellas,,Latin
She sued him,Tcuṛeɛit,,Latin
She was busy,Tella tecɣel,,Latin
Sing with us,Zmel yidneɣ,,Latin
Sit down now,Qqim tura,,Latin
Someone came,Yella win ay dyusan,,Latin
Stay with me,Qqim yidi,,Latin
Stay with us,Qim yidneɣ,,Latin
Step forward,Ger asurif ɣer sdat,,Latin
Step forward,Gret asurif ɣer sdat,,Latin
Step forward,Grem asurif ɣer sdat,,Latin
Step forward,Gremt asurif ɣer sdat,,Latin
Step forward,Ddu asurif ɣer sdat,,Latin
Step forward,Ddum asurif ɣer sdat,,Latin
Step forward,Ddumt asurif ɣer sdat,,Latin
Step forward,Ddut asurif ɣer sdat,,Latin
Step outside,Ffeɣ,,Latin
Step outside,Ffɣet,,Latin
Step outside,Ffɣemt,,Latin
Stop arguing,Ḥbes amennuɣ,,Latin
Stop arguing,Ḥebset amennuɣ,,Latin
Stop arguing,Ḥebsem amennuɣ,,Latin
Stop arguing,Ḥebsemt amennuɣ,,Latin
Stop cussing,Ḥbes rregmat,,Latin
Stop cussing,Ḥebset rregmat,,Latin
Stop cussing,Ḥebsem rregmat,,Latin
Stop cussing,Ḥebsemt rregmat,,Latin
Stop cussing,Ssebded rregmat,,Latin
Stop cussing,Sbeddet rregmat,,Latin
Stop cussing,Sbeddem rregmat,,Latin
Stop cussing,Sbeddemt rregmat,,Latin
Stop pushing,Ḥbes ademmer,,Latin
Stop pushing,Ḥebset ademmer,,Latin
Stop pushing,Ḥebsemt ademmer,,Latin
Stop pushing,Ḥebsem ademmer,,Latin
Stop reading,Ḥbes taɣuri,,Latin
Stop smoking,Ssebded akeyyef,,Latin
Stop smoking,Ḥbes ddexxan,,Latin
Stop smoking,Ḥbes akeyyef,,Latin
Stop smoking,Ssebded ddexxan,,Latin
Stop talking,Ḥbes awal,,Latin
Stop the car,Ḥbes takeṛṛust,,Latin
Stop the car,Ssebded takeṛṛust,,Latin
Stop yelling,Ḥbes zzeɛḍ,,Latin
Stop yelling,Ḥebset zzeɛḍ,,Latin
Stop yelling,Ḥebsem zzeɛḍ,,Latin
Stop yelling,Ḥebsemt zzeɛḍ,,Latin
Study French,Zrew tafṛensist,,Latin
Sweet dreams,Tirga igerrzen,,Latin
Sweet dreams,,ⵜⵉⵡⴰⵔⴳⵉⵡⵉⵏ ⵉⵎⵎⵉⵎⵏ,tifinagh
Sweet dreams,Tirga yelhan,,Latin
Take command,Ddem tanzaḍt,,Latin
Take control,Lhud s tɣawsiwin,,Latin
Take control,Ddem abaḍi,,Latin
Take it easy,S leɛqel kan,,Latin
Take it easy,Sullan kan,,Latin
Take it easy,S leɛqel,,Latin
Take it easy,Sullan,,Latin
Take the bus,Ḍḍef asakal,,Latin
Take the bus,Ḍḍfet asakal,,Latin
Take the bus,Ḍḍfemt asakal,,Latin
Take us home,Awianeɣ s axxam,,Latin
Tell Tom why,Inias i Tom acuɣer,,Latin
Tell me when,Iniiyid ayweq,,Latin
Tell us more,Inianeɣd ugar,,Latin
Thanks again,Tanemmirt tikkelt niḍen,,Latin
That is mine,Wuni nnu,,Latin
That was Tom,Winna d Tom,,Latin
That will do,Beṛka anecta,,Latin
Thatll work,Ad yečč waya,,Latin
Thats awful,Aya d anakkaḍ,,Latin
Thats crazy,Aya d tisselbi,,Latin
Thats my CD,Wihin d aḍebsiinu ussid,,Latin
Thats my CD,Wihin d asidiinu,,Latin
Thats right,D tidet,,Latin
Thats silly,Ta d taɣawsa tungift,,Latin
The sun rose,Tecreqd tafukt,,Latin
They all sat,Qqimen akk,,Latin
They all sat,Qqiment akk,,Latin
They approve,Qeblen,,Latin
They approve,Qeblent,,Latin
They are men,Nutni d irgazen,,Latin
They came in,Udfend,,Latin
They came in,Udfentd,,Latin
They cheered,Llan ssebɣasen,,Latin
They cheered,Llant ssebɣasent,,Latin
They crashed,Ɣlind,,Latin
They crashed,Ɣlintd,,Latin
They escaped,Rewlen,,Latin
They escaped,Rewlent,,Latin
They gave up,Wten nneḥ,,Latin
They gave up,Wtent nneḥ,,Latin
They gave up,Feclen,,Latin
They gave up,Feclent,,Latin
They got Tom,Ḍḍfend Tom,,Latin
They hate me,Keṛheniyi,,Latin
They hate us,Keṛhenaneɣ,,Latin
They hate us,Keṛhentaneɣ,,Latin
They help us,Ttɛawanenaɣ,,Latin
They help us,Ttɛawanentaɣ,,Latin
They knew me,Llan ssneniyi,,Latin
They knew me,Llant ssnentiyi,,Latin
They know me,Nitni ssneniyi,,Latin
They know me,Ssneniyi,,Latin
They know me,Ssnentiyi,,Latin
They know us,Ssnenaɣ,,Latin
They know us,Ssnentaɣ,,Latin
They laughed,Ḍsan,,Latin
They laughed,Ḍsant,,Latin
They lost it,Sṛuḥent,,Latin
They lost it,Sṛuḥentt,,Latin
They lost it,Sṛuḥenttt,,Latin
They love it,Ḥemmlent,,Latin
They love it,Ḥemmlentt,,Latin
They love it,Ḥemmlenttt,,Latin
They love me,Nitni ḥemmleniyi,,Latin
They love us,Ḥemmlenaɣ,,Latin
They love us,Ḥemmlentaɣ,,Latin
They need me,Ḥwajeniyi,,Latin
They need me,Ḥwajentiyi,,Latin
They refused,Ugin,,Latin
They refused,Ugint,,Latin
They refused,Nitni ugin,,Latin
They refused,Nitenti ugint,,Latin
They relaxed,Sgunfan,,Latin
They relaxed,Sgunfant,,Latin
They said no,Nnand uhu,,Latin
They said no,Nnantd uhu,,Latin
They said no,Ugin,,Latin
They said no,Ugint,,Latin
They saw Tom,Ẓran Tom,,Latin
They saw you,Walank,,Latin
They saw you,Walankem,,Latin
They saw you,Walanken,,Latin
They saw you,Walankent,,Latin
They saw you,Ẓrank,,Latin
They saw you,Ẓrankem,,Latin
They saw you,Ẓranken,,Latin
They saw you,Ẓrankent,,Latin
They saw you,Ẓrantk,,Latin
They saw you,Ẓrantkem,,Latin
They saw you,Ẓrantken,,Latin
They saw you,Ẓrantkent,,Latin
They saw you,Walantk,,Latin
They saw you,Walantkem,,Latin
They saw you,Walantken,,Latin
They saw you,Walantkent,,Latin
They shot me,Qerrsend felli,,Latin
They shot me,Qerrsentd felli,,Latin
They stopped,Ḥebsen,,Latin
They stopped,Ḥebsent,,Latin
They stopped,Bedden,,Latin
They stopped,Beddent,,Latin
They stopped,Nitni ḥebsen,,Latin
They stopped,Nitni bedden,,Latin
They sweated,Teccefiten tidi,,Latin
They sweated,Teccefitent tidi,,Latin
They want me,Bɣaniyi,,Latin
Theyre back,Uɣalend,,Latin
Theyre busy,Ceɣlen,,Latin
Theyre busy,Ceɣlent,,Latin
Theyre busy,Atni wweẓlan,,Latin
Theyre cool,Lhan,,Latin
Theyre cool,Lhant,,Latin
Theyre cool,D imelha,,Latin
Theyre cool,D timelha,,Latin
Theyre cute,Nitni d umliḥen,,Latin
Theyre dead,Mmutent,,Latin
Theyre dead,Mmuten,,Latin
Theyre done,Fuken,,Latin
Theyre done,Fukent,,Latin
Theyre done,Terwi fellasen,,Latin
Theyre done,Terwi fellasent,,Latin
Theyre eggs,Ti d timellalin,,Latin
Theyre evil,D imceṛṛiyen,,Latin
Theyre evil,D timceṛṛiyin,,Latin
Theyre fast,D iruraden,,Latin
Theyre fast,D tiruradin,,Latin
Theyre fine,Ur tenyuɣ wara,,Latin
Theyre fine,Ur tentyuɣ wara,,Latin
Theyre fine,Atni bxir,,Latin
Theyre fine,Atenti bxir,,Latin
Theyre gone,Ddan,,Latin
Theyre gone,Ddant,,Latin
Theyre gone,Nitni ddan,,Latin
Theyre gone,Nitenti ddant,,Latin
Theyre good,Lhan,,Latin
Theyre good,Lhant,,Latin
Theyre good,Nitni lhan,,Latin
Theyre good,Nitenti lhant,,Latin
Theyre home,Atni deg uxxam,,Latin
Theyre home,Atenti deg uxxam,,Latin
Theyre kids,Nitni d igerdan,,Latin
Theyre kids,Nitenti d tigerdatin,,Latin
Theyre late,Ɛeḍḍlen,,Latin
Theyre late,Ɛeḍḍlent,,Latin
Theyre late,Ɛeṭṭlen,,Latin
Theyre late,Ɛeṭṭlent,,Latin
Theyre mine,Wi inu,,Latin
Theyre mine,Ti inu,,Latin
Theyre mine,Widak inu,,Latin
Theyre mine,Tidak inu,,Latin
Theyre nice,Lhan,,Latin
Theyre nice,Lhant,,Latin
Theyre nice,D imelha,,Latin
Theyre nice,D timelha,,Latin
Theyre rich,Nitni d inesbuɣar,,Latin
Theyre rich,Nitenti d tinesbuɣar,,Latin
Theyre safe,Atni deg tɣellist,,Latin
Theyre safe,Atenti deg tɣellist,,Latin
Theyre ugly,Cemten,,Latin
Theyre ugly,Cemtent,,Latin
Theyre weak,Nitni d uḍɛifen,,Latin
Theyre weak,Nitenti d tuḍɛifin,,Latin
Theyve gone,Ddan,,Latin
Theyve gone,Ddant,,Latin
Theyve left,Ddan,,Latin
Theyve left,Ddant,,Latin
Things break,Tiɣawsiwin ttruẓunt,,Latin
This is easy,Fessus waya,,Latin
This is food,Wa d učči,,Latin
This is free,Aya baṭel,,Latin
This is free,Wa baṭel,,Latin
This is hard,Yewɛeṛ waya,,Latin
This is life,D ta ay d tameddurt,,Latin
This is ours,Wa nneɣ,,Latin
This is ours,Wa nteɣ,,Latin
This is true,Aya d tidet,,Latin
This is ugly,Yecmet waya,,Latin
This is ugly,Yecmet,,Latin
Thisll work,Ad yečč waya,,Latin
Time stopped,Ibedd wakud,,Latin
Tom answered,Tom yerrad,,Latin
Tom answered,Yerrad Tom,,Latin
Tom approved,Yeqbel Tom,,Latin
Tom approved,Tom yeqbel,,Latin
Tom approves,Yeqbel Tom,,Latin
Tom approves,Tom yeqbel,,Latin
Tom ate cake,Tom yečča angul,,Latin
Tom ate pork,Tom yečča aksum n uladay,,Latin
Tom ate well,Tom yečča mliḥ,,Latin
Tom ate well,Tom yečča hullan,,Latin
Tom bit Mary,Tom ikerrec Mary,,Latin
Tom bores me,Tom yettqelliqiyi,,Latin
Tom broke it,Tom yerẓat,,Latin
Tom broke it,Tom yerẓatt,,Latin
Tom built it,Yebnat Tom,,Latin
Tom built it,Yebnatt Tom,,Latin
Tom can cook,Tom yezmer ad dyesseww,,Latin
Tom can help,Tom yezmer ad yalel,,Latin
Tom can help,Tom yezmer ad iɛawen,,Latin
Tom can stay,Yezmer Tom ad yeqqim,,Latin
Tom can swim,Tom yessen ad iɛum,,Latin
Tom can talk,Tom yezmer ad dyessiwel,,Latin
Tom can wait,Tom yezmer ad yeṛju,,Latin
Tom can wait,Yezmer ad yeṛju Tom,,Latin
Tom can wait,Ulac aɣilif ma yeṛja Tom,,Latin
Tom can wait,Tom ulac aɣilif ma yeṛja,,Latin
Tom can wait,Tom ad yezmer ad yeṛju,,Latin
Tom can walk,Tom yezmer ad yeddu,,Latin
Tom canceled,Tom isemmet,,Latin
Tom canceled,Tom yebṭel,,Latin
Tom chuckled,Tom yeknanez,,Latin
Tom did that,D Tom ay igan ayen,,Latin
Tom did well,Tom iga akken yeqwem,,Latin
Tom enlisted,Tom yudef ɣer tredsa,,Latin
Tom felt bad,Tom ur iḥulfa ara i yimannnes yelha,,Latin
Tom felt ill,Tom iḥuss i yimanis yehlek,,Latin
Tom felt sad,Tom iḥulfa i leḥzen,,Latin
Tom felt sad,Tom iḥulfa i unneɣni,,Latin
Tom finished,Tom ifuk,,Latin
Tom finished,Ifuk Tom,,Latin
Tom fired me,Yeẓẓeɛiyi Tom,,Latin
Tom fired me,Yestaxeriyid Tom,,Latin
Tom fixed it,Iṣeggemit Tom,,Latin
Tom fixed it,Iṣeggemitt Tom,,Latin
Tom flinched,Tom yefrawes,,Latin
Tom followed,Tom yeḍfer,,Latin
Tom found us,Yufaaneɣd Tom,,Latin
Tom got beat,Tom yettwerna,,Latin
Tom got busy,Tom yeqqel yecɣel,,Latin
Tom got hurt,Tom yuɣitent,,Latin
Tom got hurt,Yuɣitent Tom,,Latin
Tom got lost,Tom yeɛreq,,Latin
Tom got lost,Yeɛreq Tom,,Latin
Tom got paid,Yettwaxleṣ Tom,,Latin
Tom got shot,Qerrsen ɣef Tom,,Latin
Tom got sick,Tom yuḍen,,Latin
Tom got sick,Yuḍen Tom,,Latin
Tom grumbled,Tom yella yesnehmuy,,Latin
Tom had some,Tom yella yesɛa cwiṭ,,Latin
Tom hated it,Tom yella yekṛeh ayenni,,Latin
Tom hates TV,Tom yekṛeḥ tiliẓri,,Latin
Tom hates TV,Tom yukeḍ tiliẓri,,Latin
Tom hates it,Tom yekṛeh aya,,Latin
Tom hates me,Yekṛehiyi Tom,,Latin
Tom heard it,Yeslaas Tom,,Latin
Tom hired me,Yessexdemiyi Tom,,Latin
Tom hired me,D Tom ay iyiyesmersen,,Latin
Tom hired me,Yessemresiyi Tom,,Latin
Tom hired me,Yesmuheliyi Tom,,Latin
Tom hired me,D Tom ay iyiyesmuhlen,,Latin
Tom hit Mary,Tom iwet Mary,,Latin
Tom insisted,Iḥettetd Tom,,Latin
Tom is Amish,Tom d Amici,,Latin
Tom is a man,Tom d argaz,,Latin
Tom is awful,Tom d anakkaḍ,,Latin
Tom is black,Tom d aberkan,,Latin
Tom is blind,Tom d aderɣal,,Latin
Tom is brave,Tom d abɣas,,Latin
Tom is crazy,Tom yesleb,,Latin
Tom is crazy,Tom d ameslub,,Latin
Tom is cruel,Tom d agermam,,Latin
Tom is dizzy,Tom atan la yettemlelluy,,Latin
Tom is drunk,Tom yeskeṛ,,Latin
Tom is drunk,Tom atan yeskeṛ,,Latin
Tom is dying,Tom la yettmettat,,Latin
Tom is first,D Tom ay d amezwaru,,Latin
Tom is funny,Tom d imseḍṣi,,Latin
Tom is funny,Tom yesseḍṣay,,Latin
Tom is great,Tom yetɛedda,,Latin
Tom is happy,Tom yumar,,Latin
Tom is happy,Tom yefṛeḥ,,Latin
Tom is heavy,Zḍay Tom,,Latin
Tom is heavy,Ẓẓay Tom,,Latin
Tom is loyal,Tom d amekdi,,Latin
Tom is lucky,Tom yesɛa zzheṛ,,Latin
Tom is lucky,Tom ila zzheṛ,,Latin
Tom is lying,Tom la yeskerkis,,Latin
Tom is naive,Tom d nneyya,,Latin
Tom is naive,Tom d abuneyyiw,,Latin
Tom is naive,Tom d abekkuc,,Latin
Tom is naked,Tom atan d aɛeryan,,Latin
Tom is on TV,Tom atan la dyettɛeddi deg tliẓri,,Latin
Tom is quiet,Tom d asusam,,Latin
Tom is ready,Tom yewjed,,Latin
Tom is ready,Tom atan yewjed,,Latin
Tom is right,Tom yesɛa lḥeqq,,Latin
Tom is right,Tom yeɣẓen,,Latin
Tom is right,Tom ila lḥeqq,,Latin
Tom is scary,Tom yessaggad,,Latin
Tom is short,Tom wezzil,,Latin
Tom is short,Tom d awezlan,,Latin
Tom is silly,Tom d ungif,,Latin
Tom is small,Tom wezzil,,Latin
Tom is small,Tom d amecṭuḥ,,Latin
Tom is small,Tom awezlan,,Latin
Tom is smart,Tom d amegzu,,Latin
Tom is smart,Tom d uḥṛic,,Latin
Tom is smart,Tom yeḥṛec,,Latin
Tom is smart,Tom d amiɣis,,Latin
Tom is sorry,Tom atan yesḥassef,,Latin
Tom is stuck,Tom atan yewḥel,,Latin
Tom is there,Tom atan din,,Latin
Tom is three,Tom yesɛa kraḍ n yiseggasen deg leɛmeṛnnes,,Latin
Tom is three,Tom yesɛa 3 n yiseggasen deg leɛmeṛnnes,,Latin
Tom is three,Tom ila kraḍ n yiseggasen deg leɛmeṛnnes,,Latin
Tom is three,Tom ila 3 n yiseggasen deg leɛmeṛnnes,,Latin
Tom is three,Tom kraḍ n yiseggasen fellas,,Latin
Tom is three,Tom 3 n yiseggasen fellas,,Latin
Tom is timid,Tom d imsetḥi,,Latin
Tom is timid,Tom yettsetḥi,,Latin
Tom is tipsy,Tom atan yecceɛceɛ,,Latin
Tom is tired,Tom yeɛya,,Latin
Tom is tired,Tom atan yeɛya,,Latin
Tom is tough,Tom ycedd,,Latin
Tom is tough,Tom yewɛeṛ,,Latin
Tom is tough,Yewɛeṛ Tom,,Latin
Tom is upset,Tom iɣaḍit lḥal,,Latin
Tom is white,Tom d amellal,,Latin
Tom is wrong,Tom yeɣleḍ,,Latin
Tom is young,Tom d awelɛi,,Latin
Tom is young,Tom meẓẓiy,,Latin
Tom is young,Tom d ameẓyan,,Latin
Tom isnt OK,Tom mačči bxir i yella,,Latin
Tom knows it,Tom yeẓra aya,,Latin
Tom knows me,Tom yesseniyi,,Latin
Tom knows me,Yesseniyi Tom,,Latin
Tom liked it,Yeɛjebas i Tom,,Latin
Tom liked it,Teɛjebas i Tom,,Latin
Tom likes it,Yeɛjebas i Tom,,Latin
Tom likes it,Teɛjebas i Tom,,Latin
Tom likes me,Ɛejbeɣas i Tom,,Latin
Tom likes me,Tom iḥemmeliyi,,Latin
Tom listened,Tom yessefled,,Latin
Tom listened,Tom yesmeḥses,,Latin
Tom listened,Tom iḥesses,,Latin
Tom looks OK,Tom yettband ur tyuɣ wara,,Latin
Tom loved me,Tom yella iḥemmeliyi,,Latin
Tom loved me,Tom yella iraiyi,,Latin
Tom loved us,Tom yella iḥemmelaneɣ,,Latin
Tom loves it,Tom iḥemmel aya,,Latin
Tom loves it,Tom iḥemmelit,,Latin
Tom loves it,Tom iḥemmelitt,,Latin
Tom may talk,Tom yezmer ad dyessiwel,,Latin
Tom means it,Tom yennatid s tidetnnes,,Latin
Tom meant it,Tom yennatid s tidetnnes,,Latin
Tom met Mary,Tom yemlald Mary,,Latin
Tom needs me,Tom yeḥwajiyi,,Latin
Tom needs me,Tom yesriiyi,,Latin
Tom needs us,Yeḥwajaneɣ Tom,,Latin
Tom objected,Tom yugi,,Latin
Tom panicked,Tom yeffeɣit leɛqel,,Latin
Tom promised,Tom iṛeggem,,Latin
Tom promised,Tom yefka awal,,Latin
Tom ran away,Tom yerwel,,Latin
Tom ran away,Yerwel Tom,,Latin
Tom ran away,Irwel Tom,,Latin
Tom ran away,Tom irwel,,Latin
Tom relented,Tom yeqqel yeqbel,,Latin
Tom resigned,Tom yettaxer,,Latin
Tom resigned,Yettaxer Tom,,Latin
Tom said yes,Tom yeqbel,,Latin
Tom said yes,Tom idegg,,Latin
Tom saw Mary,Tom yeẓra Mary,,Latin
Tom saw them,Yeẓraten Tom,,Latin
Tom screamed,Tom isuɣ,,Latin
Tom screamed,Isuɣ Tom,,Latin
Tom shot her,Iqerres fellas Tom,,Latin
Tom shot him,Iqerres fellas Tom,,Latin
Tom shrugged,Tom yerfed tuyatnnes,,Latin
Tom shrugged,Tom yerfed tuyatis,,Latin
Tom squinted,Tom yezzeɛwel tiṭṭawinnnes,,Latin
Tom squinted,Tom yezzeɛwel allennnes,,Latin
Tom stutters,Tom yesqewqiw,,Latin
Tom stutters,Tom yesguguc,,Latin
Tom survived,Tom yeslek,,Latin
Tom survived,Yeslek Tom,,Latin
Tom survived,Yemmukkesd Tom,,Latin
Tom survived,Tom yemmukkesd,,Latin
Tom threw up,Tom yerrad,,Latin
Tom threw up,Yerrad Tom,,Latin
Tom told her,Yennaas Tom,,Latin
Tom told him,Yennaas Tom,,Latin
Tom vanished,Tom yeɛreq,,Latin
Tom vanished,Yeɛreq Tom,,Latin
Tom wants it,Yebɣat Tom,,Latin
Tom wants it,Yebɣatt Tom,,Latin
Tom wants me,Tom yebɣaiyi nekk,,Latin
Tom wants me,Tom yeɣsiyi nekk,,Latin
Tom wants us,Tom yebɣaaɣ,,Latin
Tom was busy,Tom yella yecɣel,,Latin
Tom was cute,Tom yella d umliḥ,,Latin
Tom was fine,Tom yella bxir,,Latin
Tom was hurt,Tom yettwajreḥ,,Latin
Tom was last,Tom d ameggaru,,Latin
Tom was late,Tom iɛeḍḍel,,Latin
Tom was late,Iɛeḍḍel Tom,,Latin
Tom was slow,Tom sellaw,,Latin
Tom whistled,Tom iṣeffer,,Latin
Tom whistled,Tom yella yettṣeffir,,Latin
Tom will cry,Tom ad iru,,Latin
Tom will die,Tom ad yemmet,,Latin
Tom will try,Ad yarem Tom,,Latin
Tom will try,Ad yeɛreḍ Tom,,Latin
Tom will try,Tom ad yeɛreḍ,,Latin
Tom will try,Tom ad yarem,,Latin
Tomll speak,Tom ad dyessiwel,,Latin
Toms afraid,Tom yugad,,Latin
Toms afraid,Tom yuggad,,Latin
Toms afraid,Tom atan yuggad,,Latin
Toms amazed,Tom atan yewhem,,Latin
Toms asleep,Tom atan yeḍḍes,,Latin
Toms asleep,Tom atan yeṭṭes,,Latin
Toms coming,Tom la dyetteddu,,Latin
Toms coming,Ataya Tom,,Latin
Toms crying,Tom la yettru,,Latin
Toms eating,Tom la isett,,Latin
Toms greedy,Tom d aḍemmaɛ,,Latin
Toms guilty,Tom d amednub,,Latin
Toms hungry,Tom atan yelluẓ,,Latin
Toms insane,Tom yesleb,,Latin
Toms insane,Tom d ameslub,,Latin
Toms joking,Tom la yettqeṣṣir,,Latin
Toms joking,Tom atan la yettqeṣṣir,,Latin
Toms scared,Tom yugad,,Latin
Toms scared,Tom yuggad,,Latin
Toms scared,Tom atan yuggad,,Latin
Toms stoned,Tom iwet tihyufin,,Latin
Toms strict,Tom d umqit,,Latin
Toms strict,Tom yemqet,,Latin
Toms strong,Tom yejhed,,Latin
Toms strong,Tom d ujhid,,Latin
Toms stupid,Tom d amenzug,,Latin
Toms thirty,Tom yella careṭ tmeṛwin ilan,,Latin
Toms thirty,Tom ɣers careṭ tmeṛwin ilan,,Latin
Toms uneasy,Tom uhu yezhel,,Latin
Toms unsure,Tom wel yetbit,,Latin
Toms wasted,Tom yejmeḍ,,Latin
Toms wicked,Tom d amcum,,Latin
Trust no one,Ur ttamen ḥedd,,Latin
Try and swim,Ɛreḍ ad tεumeḍ,,Latin
Try to sleep,Ɛreḍ ad teṭṭseḍ,,Latin
Try to sleep,Ɛerḍet ad teṭṭsem,,Latin
Try to sleep,Ɛerḍemt ad teṭṭsemt,,Latin
Turn it down,Ssenqesas,,Latin
Turn it down,Sneqsetas,,Latin
Turn it down,Sneqsemas,,Latin
Turn it down,Sneqsemtas,,Latin
Unbelievable,D ayen ur tettamneḍ,,Latin
Unbelievable,D ayen ur yettwamnen,,Latin
Unbelievable,,ⵓⵔ ⵔⴰ ⵙⴻⵔⵙ ⵜⴼⴻⵍⵙⵜ,tifinagh
Untie me now,Fsiiyid tura,,Latin
Use my phone,Sseqdec asawalinu,,Latin
Use my phone,Sqedcet asawalinu,,Latin
Use my phone,Sqedcem asawalinu,,Latin
Use my phone,Sqedcemt asawalinu,,Latin
Use my phone,Ɣer s usawalinu,,Latin
Use my phone,Ɣret s usawalinu,,Latin
Use my phone,Ɣrem s usawalinu,,Latin
Use my phone,Ɣremt s usawalinu,,Latin
Use them all,Sseqdeciten akk,,Latin
Use them all,Sseqdecitent akk,,Latin
Use them all,Sqedcetten akk,,Latin
Use them all,Sqedcettent akk,,Latin
Use them all,Sqedcemtten akk,,Latin
Use them all,Sqedcemttent akk,,Latin
Use your key,Sseqdec tasarutnnek,,Latin
Use your key,Sseqdec tasarutnnem,,Latin
Wait and see,Ṛju twaliḍ,,Latin
Wake them up,Ssakitenid,,Latin
Wake them up,Ssakitentid,,Latin
Wake them up,Ssakittenid,,Latin
Wake them up,Ssakimttenid,,Latin
Wake them up,Ssakittentid,,Latin
Wake them up,Ssakimttentid,,Latin
Want a drink,Tebɣid ad teswed kra,,Latin
Want a drink,Tebɣam ad teswem kra,,Latin
Want a drink,Tebɣamt ad teswemt kra,,Latin
Want a drink,Teɣsed ad teswed kra,,Latin
